kind,value
type,Red
type,White
type,Rosé
type,Sparkling
type,Orange
type,Fortified
type,Dessert
country,France
country,Italy
country,Spain
country,Portugal
country,Germany
country,Austria
country,Hungary
country,Greece
country,Slovenia
country,Croatia
country,Georgia
country,Switzerland
country,Lebanon
country,England
country,USA
country,Canada
country,Australia
country,New Zealand
country,South Africa
country,Argentina
country,Chile
country,Uruguay
country,Mexico
country,Brazil
country,Japan
country,China
country,Moldova
country,Romania
country,Bulgaria
country,Turkey
country,Israel
country,Morocco
grape,Aglianico
grape,Airén
grape,Albariño
grape,Aligoté
grape,Arneis
grape,Assyrtiko
grape,Barbera
grape,Blaufränkisch
grape,Bobal
grape,Bonarda
grape,Cabernet Franc
grape,Cabernet Sauvignon
grape,Cariñena
grape,Carignan
grape,Carmenère
grape,Catarratto
grape,Chardonnay
grape,Chasselas
grape,Chenin Blanc
grape,Cinsault
grape,Clairette
grape,Colombard
grape,Cortese
grape,Corvina
grape,Counoise
grape,Dolcetto
grape,Dornfelder
grape,Falanghina
grape,Fernão Pires
grape,Fiano
grape,Frappato
grape,Friulano
grape,Furmint
grape,Gamay
grape,Garganega
grape,Garnacha
grape,Garnacha Blanca
grape,Gewürztraminer
grape,Glera
grape,Godello
grape,Graciano
grape,Grechetto
grape,Greco
grape,Grenache
grape,Grenache Blanc
grape,Grillo
grape,Grolleau
grape,Grüner Veltliner
grape,Hárslevelű
grape,Hondarrabi Zuri
grape,Kadarka
grape,Kékfrankos
grape,Kerner
grape,Lagrein
grape,Lambrusco
grape,Listán Negro
grape,Loureiro
grape,Macabeo
grape,Malbec
grape,Malvasia
grape,Marsanne
grape,Marselan
grape,Mataro
grape,Mavrud
grape,Melon de Bourgogne
grape,Mencía
grape,Merlot
grape,Monastrell
grape,Mondeuse
grape,Montepulciano
grape,Moschofilero
grape,Mourvèdre
grape,Müller-Thurgau
grape,Muscadelle
grape,Muscat
grape,Muscat Blanc à Petits Grains
grape,Nebbiolo
grape,Negroamaro
grape,Nerello Mascalese
grape,Nero d'Avola
grape,Nero di Troia
grape,Palomino
grape,Parellada
grape,Pecorino
grape,Pedro Ximénez
grape,Petit Manseng
grape,Petit Verdot
grape,Petite Sirah
grape,Picpoul
grape,Pinot Blanc
grape,Pinot Gris
grape,Pinot Grigio
grape,Pinot Meunier
grape,Pinot Noir
grape,Pinotage
grape,Plavac Mali
grape,Poulsard
grape,Primitivo
grape,Prosecco
grape,Refosco
grape,Ribolla Gialla
grape,Riesling
grape,Rkatsiteli
grape,Roussanne
grape,Sagrantino
grape,Sangiovese
grape,Saperavi
grape,Sauvignon Blanc
grape,Savagnin
grape,Schiava
grape,Sémillon
grape,Sercial
grape,Seyval Blanc
grape,Silvaner
grape,Syrah
grape,Shiraz
grape,Tannat
grape,Tempranillo
grape,Teroldego
grape,Timorasso
grape,Tinta Barroca
grape,Tinta Roriz
grape,Torrontés
grape,Touriga Franca
grape,Touriga Nacional
grape,Trebbiano
grape,Trepat
grape,Trousseau
grape,Trousseau Gris
grape,Ugni Blanc
grape,Valdiguié
grape,Verdejo
grape,Verdicchio
grape,Vermentino
grape,Vernaccia
grape,Viognier
grape,Viura
grape,Welschriesling
grape,Xarel·lo
grape,Xinomavro
grape,Zibibbo
grape,Zinfandel
grape,Zweigelt
