card,number,lens_no,nudge,lens_name,lens_subtitle,wine_mapping_idea,status
The Moon,XVIII,I,,A shifting face,never quite the same twice,"chameleon wines: Rousseau Pinot, traditional Barolo (Mascarello)",approved
The Moon,XVIII,II,,Drawn by the tide,pulled by something that can't be seen,"lunar/biodynamic: Joly, Coulée de Serrant",approved
The Moon,XVIII,III,nudge,The beautiful lie,the best deceptions never feel like one,"deceptive wines: Tyrrell's Vat 1 (tastes oaked, never was)",approved
The Moon,XVIII,IV,,Trust the dark,some things only make sense without the light,blind-tasting wines: chilled Poulsard / skin-contact Pinot Gris,approved
Death,XIII,I,,From the ashes,the richest soil is always where something burned,"volcanic: Etna, Santorini, Canaries",approved
Death,XIII,II,,"Reborn, but different",what comes back is never quite the same,"revived practice: Gravner amphora, qvevri",approved
Death,XIII,III,,A stranger in the mirror,"unrecognizable, in the best way","transforms with age: Hunter Semillon, Nebbiolo",approved
Death,XIII,IV,nudge,A clean break,the old way already had its turn,generational shift: Elio Altare chainsaw,approved
The Tower,XVI,I,,Let it burn,"matter of fact, hand me the match","grower Champagne: Selosse, Bouchard",approved
The Tower,XVI,II,,Still standing,what should have been the end wasn't,disaster vintage: 2014 Napa quake,approved
The Tower,XVI,III,,The veil dropped,"once seen, impossible to unsee",tech upheaval: modern stainless whites,approved
The Tower,XVI,IV,nudge,Rules are made to be broken,the interesting ones always were,iconoclast: Tignanello / Sassicaia,approved
The Fool,0,I,nudge,Leap first,the landing figures itself out,"pét-nat: Las Jaras, Jolly-La-Fermette",approved
The Fool,0,II,,Off the beaten path,the good stuff was never on the map,"experimental: Scholium, Trousseau Gris",approved
The Fool,0,III,,For the hell of it,"no reason needed, no regrets offered",carbonic: Cru Beaujolais (Lapierre),approved
The Fool,0,IV,,The long shot,the safest bet is the one nobody else is making,"emerging region: Movia Rebula, English still",approved
The Hermit,IX,I,,Alone with it,some things only surface in the quiet,contemplative solo bottles,approved
The Hermit,IX,II,,No rush tonight,the best things never hurry,slow-aged: late-release Rioja / Barolo Riserva,approved
The Hermit,IX,III,,Off the map,the good stuff was never where the crowd went,obscure region hunting,approved
The Hermit,IX,IV,nudge,Nothing easy,what's earned is always worth more,"demanding wines: Vin Jaune, Jura oxidative",approved
Wheel of Fortune,X,I,,The sum of it all,every chapter led to this one,NV Champagne: Krug Grande Cuvée (multi-vintage blend),draft
Wheel of Fortune,X,II,,Round it comes again,"the same crossroads, a different season","solera: Sherry, Rutherglen Muscat",draft
Wheel of Fortune,X,III,,A lucky break,some things just land in the right lap,serendipity: Penfolds Grange origin story,draft
Wheel of Fortune,X,IV,,The turn,one moment changes the whole story,new winemaker era: Latour under Engerer,draft
Wheel of Fortune,X,V,nudge,A comeback,the best ones are written off first,"comeback region: Palacios, Priorat",draft
The World,XXI,I,,The whole picture,every piece finally in its place,complete/complex blends,draft
The World,XXI,II,,"Earned, not given",the kind of triumph that took the long way,long-aged patience wines,draft
The World,XXI,III,nudge,A world unto itself,built from so many parts it became its own thing,Beaucastel 13-variety Châteauneuf,draft
The World,XXI,IV,,The arrival,the journey ends where it was always heading,destination/pinnacle bottles,draft
The Devil,XV,I,,A second glass,the first one was never going to be enough,"dangerously drinkable: Turley Zinfandel",draft
The Devil,XV,II,,Worth every penny,some chains look a lot like luxury,"luxury bondage: cult Napa, Screaming Eagle tier",draft
The Devil,XV,III,nudge,A guilty pleasure,"the best kind, no guilt at all","unfashionable joys: White Zin done seriously, Lambrusco",draft
The Devil,XV,IV,,A perfect illusion,some things are better when they aren't real,"illusion wines: flor-aged, rancio",draft
The Magician,I,I,,"Channeled, not made",the raw material was always extraordinary,terroir-transparent: great single vineyards,draft
The Magician,I,II,,Greater than the sum,every piece played its part perfectly,masterful blends,draft
The Magician,I,III,nudge,Bent to will,the impossible made to look effortless,virtuoso producers: Dagueneau Silex,draft
The Magician,I,IV,,Between two worlds,some forces work best left unexplained,biodynamic mystique,draft
