card,number,status,keywords,meaning_1,meaning_2,reading_1,reading_2,closing_para,closing_status,notes
The Moon,XVIII,approved,Illusion|Intuition|Dreams|The subconscious|Fear|The hidden,"The Moon is the night card of the deck. It stands for illusion, dreams, instinct, and everything a situation keeps beneath its surface. Where the Sun shows things exactly as they are, The Moon shows them as they feel, which is sometimes more honest and sometimes much less.","Drawing it means some part of life is currently moonlit. The full picture has not come out yet, facts are missing, and imagination is busy filling the gaps. Fear tends to draw those gaps larger than they really are. The card carries an old reassurance: the road in the picture continues through the dark and comes out the other side. Confusion, here, is a phase, and phases pass.","Drawn tonight, The Moon points at the place in your life where certainty is thinnest. A decision that refuses to settle. A story that does not quite add up. A mood with no visible cause. It counsels patience over force: let the situation finish revealing itself before you act on it.","It also asks you to take your intuition seriously. Under this card, a feeling is information arriving early. If something has seemed off lately, the card sides with you. And if fear has been doing the narrating, make it prove its claims. Moonlight exaggerates, and most of its monsters turn out to be rocks.","One card holds several truths, and the lenses are how this deck splits them apart. For The Moon they read: something that will not hold still, a pull you feel but cannot see, a deception you may already suspect, an instinct that has been right all along. Only you know which of those is tonight's truth.",approved,canon from the design session
Death,XIII,approved,Endings|Transformation|Letting go|Transition|Rebirth|Inevitable change,"Death is the deck's card of endings. It stands for transformation, transition, and the shedding of whatever has run its course. The name is the card's oldest bluff: it almost never points at literal loss. What it marks is the moment a chapter closes, and a closed chapter, here, is simply how the next one begins.","Drawing it means something in your life has reached its natural end, whether or not that has been said out loud yet. The card is honest about the cost: endings take something with them, even the welcome ones. But its reassurance is built into its own logic. Whatever this card touches was already finished, and the space an ending clears does not stay empty for long.","In a reading, Death singles out whatever has already ended and is waiting to be admitted. A commitment kept past its purpose. A version of yourself you have outgrown. A situation everyone involved can feel winding down. Its counsel is to let the ending finish, because most of this card's weight sits in the holding on, and almost none of it in the letting go.","Death's advice is to cooperate with the change rather than negotiate with it. If you are grieving something before it is officially over, trust that; part of you has already stepped through. Grief and relief often arrive together here, and both are allowed. Treat the moment the way a garden treats autumn: the cutting back looks harsh, and it is the only reason spring has anywhere to arrive.","One card holds several truths, and the lenses are how this deck splits them apart. For Death they read: an ending that leaves the ground richer, something old returning in a new form, a change so complete you hardly recognize the before, a way of doing things you ended yourself. Only you know which of those is tonight's truth.",approved,"approved r1 (2026-07-11); user keyword verdict: the Symbols' 'Letting go' restored over 'Release' (letting go means more than release); 'Rebirth' kept in place of 'new beginnings'"
The Tower,XVI,approved,Upheaval|Revelation|Breakdown of old structures|Crisis|Liberation,"The Tower is the card of sudden collapse. It stands for upheaval, shock, and the moment a structure gives way because it was built on something false. Where Death closes a chapter that had finished on its own, The Tower brings things down mid-sentence, without notice and without a vote.","Drawing it means something you were standing on has cracked, or is about to: a certainty, a role, an arrangement you assumed was load-bearing. The card does not soften this; the fall is real, and it rearranges things. Its consolation is strict but genuine. Only the false part collapses. Whatever survives the shake was true all along, and now you know exactly which was which.","The Tower finds whatever has been standing on wishful thinking. A belief that just took a direct hit. A plan that came apart in a single afternoon. News that changed the shape of everything around it. Its counsel is to let the dust settle before you rebuild, because the urge to restack the same stones is strongest in the first hour.","The card also carries an odd mercy: relief. When a false thing falls, the work of holding it up ends with it, and most people discover how tired they were only after it is gone. Do not rush to explain the collapse away. Stand in the open air it left, look hard at the foundations, and build the next thing on the part that held.","One card holds several truths, and the lenses are how this deck splits them apart. For The Tower they read: a demolition you would gladly start yourself, a blow that failed to finish you, a realization there is no walking back from, an order that deserved the defying. Only you know which of those is tonight's truth.",approved,"approved r1 (2026-07-11); user keyword verdict: the Symbols' full 'Breakdown of old structures' kept over 'Collapse' (the 2-3 word cap is soft)"
The Fool,0,approved,New beginnings|Spontaneity|Faith|Leaping into the unknown|Potential|Innocence,"The Fool is the deck's beginning, numbered zero because the story has not started yet. It stands for new beginnings, spontaneity, and untested potential. Every other card knows where it is going. The Fool is the moment before that, the first step taken purely on faith.","Drawing it means something in your life is at its very start: an idea, an urge, a door that only just opened. The card is cheerfully honest about the odds. A beginning this fresh cannot show you its ending, and the invitation stands anyway. Innocence here is an asset. The Fool moves precisely because it does not yet know every reason to stay put.","The Fool arrives beside the untried thing you keep circling. An opportunity that appeared out of nowhere. A reinvention you have been quietly rehearsing. An impulse that refuses to be talked down. Its counsel is to weigh the risk once, honestly, and then move, because a beginning studied for too long quietly becomes a decision not to.","The Fool's advice is to stop waiting until you feel qualified. Readiness, under this card, is something the road hands you a little at a time, never something you can pack in advance. Treat the uncertainty as scenery rather than threat. In every printing of this card the Fool is mid-step at the cliff's edge, and the picture never once shows a fall.","One card holds several truths, and the lenses are how this deck splits them apart. For The Fool they read: a jump taken before the doubts could vote, a turn away from the marked road, a thing done purely for the joy of it, a gamble the sensible crowd would never place. Only you know which of those is tonight's truth.",approved,"approved r1 (2026-07-11); user keyword verdict: the Symbols' 'Leaping into the unknown' restored over 'The unknown' (the card is the fool wading in, not the unknown itself)"
The Hermit,IX,approved,Solitude|Introspection|Soul-searching|Guidance|Inner wisdom,"The Hermit is the quietest card in the deck. It stands for solitude, introspection, and the kind of understanding that only arrives when the noise stops. The figure carries a lantern for a reason: this is a searching card, and the search is inward, conducted alone and entirely on purpose.","Drawing The Hermit means some question in your life has stopped responding to conversation. More opinions will not settle it, and company, for the moment, is a kind of static. The card gives you permission to step back and hear yourself think. This is a retreat with a return built in: the Hermit withdraws to find something, and comes back once it is found.","The Hermit stands wherever you have run low on your own counsel. A decision crowded with other people's voices. A tiredness that company has stopped fixing. A question you have been asking everyone but yourself. Its counsel is to take the question somewhere quiet and sit with it longer than feels productive, because this card's answers are shy.","There is a difference, this card insists, between loneliness and solitude. Loneliness is an emptiness that happens to you; the Hermit's solitude is chosen, furnished, and temporary, closer to an appointment than an exile. Keep it that way. Decline what needs declining without apology, and when you find what you went looking for, carry it back to the people who missed you. The lantern is lit for the walk home too.","One card holds several truths, and the lenses are how this deck splits them apart. For The Hermit they read: a truth that waits until nobody else is around, something better for taking its time, a find far from where the crowd gathers, a satisfaction that asked something of you first. Only you know which of those is tonight's truth.",approved,"approved r1 (2026-07-11) with no changes; keywords from the Symbols ('seeking wisdom from within' distilled to 'Inner wisdom'); set of five"
The Magician,I,approved,Skill|Willpower|Manifestation|Resourcefulness|Inspired action|Having all the tools,"The Magician is the card of making things happen. It stands for skill, will, and the discovery that the tools on the table are already enough. Where The Fool steps out with nothing but faith, The Magician arrives equipped: this card is about capability, and about aiming it at one thing on purpose.","Drawing it means the gap between wanting and doing is currently thin. Conditions have lined up, the resources you already own are ready for use, and intention, for once, turns directly into results. The card puts its emphasis on deliberateness. What gets built now gets built because you chose it, shaped it, and saw it through, and that authorship is the point.","In practice, The Magician lands on the project that has been waiting for you to believe in it. A skill finally meeting its moment. An idea that needs assembling rather than more research. A conversation you are better prepared for than you think. Its counsel is to begin while everything is within reach, because this card describes a window, and windows close.","The card's advice concerns focus. Capability spread across five projects reads as busyness; brought to bear on one, it reads as power. Pick the single thing that matters most and give it everything on the table. A stage illusion comes down to one practiced hand doing one thing supremely well while the whole room watches. So does this card.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords keep the Symbols' 'Inspired action' and 'Having all the tools' whole"
The High Priestess,II,approved,Intuition|Hidden knowledge|Mystery|Duality|Patience|The subconscious,"The High Priestess is the deck's keeper of what is known but not yet said. She stands for intuition, mystery, and the knowledge that sits beneath the surface of a situation. Where The Magician acts on the world, The High Priestess reads it. Hers is the quiet register of things, the felt, the sensed, and the not yet provable.","Drawing her means a situation is running on two levels, and the official version is the thinner one. Something underneath carries the real information: an undercurrent in a room, a pattern you have registered without meaning to, a knowing you cannot yet defend. The card treats that lower level as entirely trustworthy. It simply has not surfaced yet, and it will.","She tends to appear where the facts have stopped adding new information. A decision that logic alone cannot close. A person whose words and signals disagree. An answer you already have but keep re-asking. Her counsel is stillness: stop gathering, stop polling the room, and let what you already know finish forming.","Her advice is to give your inner sense the same respect you give evidence. You are not required to explain a hunch to anyone, including yourself, before honoring it. Make space where subtle things can register; noise is the only real enemy this card has. Think of deep water: it never advertises its depth, and it never has to.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user keyword verdict: 'The subconscious' restored (recipe principle: symbols may repeat across cards)"
The Empress,III,approved,Nurturing|Abundance|Fertility|Creativity|Sensuality|Comfort|The natural world,"The Empress is the card of abundance. She stands for nurture, creativity, comfort, and the fertile side of life: everything that grows, feeds, ripens, or blooms. Hers is the most physical card in the deck. Where other cards live in the head or the future, The Empress lives in the senses, and she is doing fine there.","Drawing her means some part of life is in a growing season. Work, a relationship, an idea, a home: something is responding to care and putting out shoots. The card asks you to keep tending rather than testing, because growth answers to attention. It also extends an invitation to enjoy the thing while it grows; pleasure, under this card, is evidence that the work is going well.","The Empress usually points at whatever is asking to be fed. A project in its delicate early growth. A relationship that flourishes when attended and wilts when scheduled around. A creative appetite that has been on rations lately. Her counsel is generosity toward all of it: give time, give material, give comfort, and let the results take the timeline they need.","Her last word is for you rather than for the things you tend, since care flows outward from whoever holds the watering can. Let rest be genuinely restful, and let good things be enjoyed without an itemized justification. Sit in the garden you have been building instead of only weeding it. Nothing grows better for being watched anxiously, and everything grows better for being loved.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; keywords straight from the Symbols ('connection to the earth/nature' rendered as 'The natural world'); set of seven"
The Emperor,IV,approved,Authority|Structure|Stability|Control|Order|Rules|The Establishment|Father figure|Worldly power|Rigidity,"The Emperor is the card of structure. He stands for authority, order, stability, and the discipline that turns ambition into something that lasts. He and The Empress rule adjoining territories: hers grows things, his builds them. This is the card of foundations poured, borders drawn, and systems that keep working on the days nobody feels inspired.","Drawing him means some part of life is calling for a framework. Enthusiasm has done what enthusiasm does, and now the thing needs scaffolding: routines, boundaries, a clear decision about who holds what. The card sides with the builder. In the Emperor's view, the surest route to ease is a structure sound enough that you can stop thinking about it.","He shows up where things have been running on goodwill and improvisation. A commitment that needs its terms said out loud. A workload that needs a system instead of another heroic week. A boundary that keeps moving because it was never fixed anywhere. His counsel is to decide the rules once, clearly, and then let the rules do the enforcing.","His advice is to take the authority you have been treating as optional, and to hold it calmly rather than apologetically. Steadiness is the whole performance; an order that must shout is already losing. Build the walls straight and the gates generous, and remember what walls are for. A kingdom is measured by what manages to flourish inside it.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; user keyword verdict: Rules, The Establishment, Father figure, Rigidity restored alongside Order (distinct concepts; 'potential' dropped: every symbol is a potential); set of ten"
The Hierophant,V,approved,Tradition|Institutions|Belief systems|Conformity|Education|Inherited wisdom,"The Hierophant is the deck's teacher. He stands for tradition, institutions, and knowledge that arrives with a lineage attached, tested by generations of hands before yours. Where The Emperor builds structures, The Hierophant maintains the ones that already work, and his classroom has been open a very long time.","Drawing him means the situation you are in has been visited before, many times, and the accumulated notes are worth reading. Somewhere there is an established way through: a method, a mentor, a practice, a body of experience built for exactly this. The card counsels a practical kind of humility. Original thinking is expensive, and this may be a moment to spend inheritance instead.","Look for him wherever reinvention has quietly become the obstacle. A skill that wants formal grounding rather than another improvised attempt. A decision where the conventional answer happens to be the right one. A community whose accumulated sense you have been too proud to consult. His counsel is to ask the people who have done it, and then actually do it the way they say.","The distinction he insists on is between rules that confine and rules that condense. The best traditions are compressed experience, centuries of trial and error folded into a form you can learn in an afternoon. Follow the form faithfully before you improvise on it. Mastery has always run in that order, and the ones who eventually depart from tradition beautifully are the ones who first learned exactly what it was holding up.",,pending,"body approved r1 (2026-07-11); closing pending lens approval; 'Inherited wisdom' condensation praised by name (kept the meaning)"
