card,lens_no,lens_echo,pour_no,wine,producer_or_region,blurb,grape,style,vintage,abv,serve,notes,pairs_with,acid,sweet,tannin,body,status
The Moon,III,You came for misdirection. Wise.,1,Tyrrell's Vat 1,"Hunter Valley, Australia","The best deceptions never feel like one, and neither does this. Vat 1 tastes of toast, honey, and oak it never once touched. Bone-dry, eleven percent, lying beautifully for twenty years.",Sémillon,"Dry white, aged",2005,11%,"8–10°C, no decant","Citrus, honey, lanolin","Oysters, roast chicken",0.85,0.06,0.08,0.28,approved
The Moon,III,You came for misdirection. Wise.,2,Dry Furmint,"Tokaj, Hungary","Tokaj built its legend on the sweetest wine on earth. This one walks in wearing that reputation and pours bone-dry: smoke, pear skin, a lie by association that the palate sorts out too late.",Furmint,"Dry white, mineral",2021,12.5%,9–11°C,"Smoke, pear, flint","Schnitzel, aged gouda",0.8,0.12,0.12,0.38,approved
The Moon,III,You came for misdirection. Wise.,3,"Morgon, Lapierre","Beaujolais, France","It pours like a whisper and lands like a speech. Lapierre's Morgon looks pale, chills like a white, then unfolds into something dark-fruited and serious. The color was the misdirection.",Gamay,"Red, cru Beaujolais",2022,13%,"14°C, slight chill","Cherry, iron, violets","Charcuterie, roast duck",0.62,0.1,0.35,0.45,approved
Wheel of Fortune,V,The comeback. Bold.,1,Les Terrasses,"Álvaro Palacios, Priorat","The best comebacks start with being written off. Priorat was emptied, forgotten, left for dead, until a few stubborn believers bet everything on its black slate. Les Terrasses is that bet paid in full: dark fruit, crushed stone, and the last laugh.","Garnacha, Cariñena","Red, old-vine",,,,"Black fruit, slate, licorice",,0.6,0.08,0.55,0.7,draft
Death,IV,The clean break. About time.,1,Elio Altare Barolo,"Piedmont, Italy","The old way had its turn, and Elio Altare agreed. He took an actual chainsaw to his father's ancient casks and was nearly disinherited for it. What grew back is modern Barolo: rose and tar over something brand new.",Nebbiolo,"Red, modern Barolo",,,,"Rose, tar, red cherry",,0.75,0.05,0.8,0.65,draft
The Tower,IV,The rebellion. Naturally.,1,Tignanello,"Antinori, Tuscany","The interesting rules always get broken, and Tignanello broke every one Chianti had. Cabernet smuggled into Sangiovese, French oak where it wasn't welcome, filed as a humble table wine. It turned out better than the law allowed. The rulebook never recovered.",Sangiovese blend,"Red, Super Tuscan",,,,"Black cherry, tobacco, cedar",,0.65,0.06,0.65,0.7,draft
The Fool,I,The leap. Of course.,1,Las Jaras Pét-Nat,California,"The landing figures itself out, and so does a pét-nat, sealed mid-ferment and left to finish on instinct. Las Jaras bottles that gamble on purpose: cloudy, frothy, a little feral, never the same twice. Jump.",Field blend,Pét-nat sparkling,,,,"Green apple, bread, spritz",,0.7,0.15,0.1,0.3,draft
The Hermit,IV,The hard road. Good.,1,Vin Jaune,"Jura, France","What's earned is always worth more, and Vin Jaune earns every sip. Six years under a veil of yeast, going nowhere, becoming something most palates can't follow: walnut, curry, bruised apple. It gives up its secrets slowly. Or not at all.",Savagnin,"Oxidative, under veil",,,,"Walnut, curry, apple",,0.8,0.03,0.15,0.55,draft
The World,III,"The whole, greater than its parts. Rare.",1,Château de Beaucastel,Châteauneuf-du-Pape,"Built from so many parts it became its own thing: Beaucastel blends up to thirteen grape varieties into a single wine that tastes like none of them and all of them. Spice, leather, dark fruit, and a place that has been getting this right for centuries.",13-variety blend,"Red, Southern Rhône",,,,"Spice, leather, dark fruit",,0.6,0.08,0.6,0.75,draft
The Devil,III,The guilty pleasure. Pour heavier.,1,Turley Zinfandel,California,"No guilt at all, that's the spirit. Turley's old-vine Zinfandel is dangerously easy to love: ripe, generous, unapologetically full-throated, and not the least bit sorry about it. The second glass was always coming. So was the third.",Zinfandel,"Red, old-vine",,,,"Blackberry, spice, warmth",,0.5,0.2,0.5,0.9,draft
