card,number,lens_no,nudge,lens_name,lens_subtitle,wine_mapping_idea,status
The Moon,XVIII,I,,A shifting face,never quite the same twice,"chameleon wines: Rousseau Pinot, traditional Barolo (Mascarello)",approved
The Moon,XVIII,II,,Drawn by the tide,pulled by something that can't be seen,"lunar/biodynamic: Joly, Coulée de Serrant",approved
The Moon,XVIII,III,,The beautiful lie,sometimes the story beats the truth,"deceptive wines: Tyrrell's Vat 1 (tastes oaked, never was)",approved
The Moon,XVIII,IV,,A gut feeling,the feeling got there before the facts,"instinct-led winemakers: Domaine Gramenon (no formulas, by feel)",approved
Death,XIII,I,,From the ashes,the richest soil is always where something burned,"volcanic: Etna, Santorini, Canaries",approved
Death,XIII,II,,"Reborn, but different",what comes back is never quite the same,"revived practice: Gravner amphora, qvevri",approved
Death,XIII,III,,A stranger in the mirror,"unrecognizable, in the best way","transforms with age: Hunter Semillon, Nebbiolo",approved
Death,XIII,IV,,A clean break,the old way already had its turn,generational shift: Elio Altare chainsaw,approved
The Tower,XVI,I,,Let it burn,"matter of fact, hand me the match","grower Champagne: Selosse, Bouchard",approved
The Tower,XVI,II,,Still standing,what should have been the end wasn't,disaster vintage: 2014 Napa quake,approved
The Tower,XVI,III,,The veil dropped,"once seen, impossible to unsee",tech upheaval: modern stainless whites,approved
The Tower,XVI,IV,,Rules are made to be broken,the interesting ones always were,iconoclast: Tignanello / Sassicaia,approved
The Fool,0,I,,Leap first,the landing figures itself out,"pét-nat: Las Jaras, Jolly-La-Fermette",approved
The Fool,0,II,,Off the beaten path,the good stuff was never on the map,"experimental: Scholium, Trousseau Gris",approved
The Fool,0,III,,For the hell of it,"no reason needed, no regrets offered",carbonic: Cru Beaujolais (Lapierre),approved
The Fool,0,IV,,The long shot,the safest bet is the one nobody else is making,"emerging region: Movia Rebula, English still",approved
The Hermit,IX,I,,Alone with it,some things only surface in the quiet,contemplative solo bottles,approved
The Hermit,IX,II,,No rush tonight,the best things never hurry,slow-aged: late-release Rioja / Barolo Riserva,approved
The Hermit,IX,III,,Off the map,the good stuff was never where the crowd went,obscure region hunting,approved
The Hermit,IX,IV,,Nothing easy,what's earned is always worth more,"demanding wines: Vin Jaune, Jura oxidative",approved
Wheel of Fortune,X,I,,The sum of it all,every chapter led to this one,NV Champagne: Krug Grande Cuvée (multi-vintage blend),approved
Wheel of Fortune,X,II,,A lucky break,some things just land in the right lap,serendipity: Penfolds Grange origin story,approved
Wheel of Fortune,X,III,,A changing of the guard,one arrival rewrites the whole story,new winemaker era: Latour under Engerer,approved
Wheel of Fortune,X,IV,,A comeback,the best ones are written off first,"comeback region: Palacios, Priorat",approved
The World,XXI,I,,A crowning achievement,some feats speak for themselves,"the 100-point feat: Giacomo Conterno Monfortino, legendary perfect-score bottles",approved
The World,XXI,II,,The arrival,the journey ends where it was always heading,"the long undertaking finished: Vin de Constance's century road back, Barca Velha declared only when ready",approved
The World,XXI,III,,It all came together,what was scattered is now one,the grand tour estate: Beaucastel's 13-variety Châteauneuf,approved
The World,XXI,IV,,Well traveled,no one comes home unchanged,globally integrated wines: Opus One (Napa x Bordeaux),approved
The Devil,XV,I,,One more won't hurt,the oldest lie we tell ourselves,"the velvet trap: power hidden in plushness (Turley Zinfandel, 15% wearing silk)",approved
The Devil,XV,II,,Joining the cult,some chains look a lot like luxury,"luxury bondage: cult allocations (Saxum's velvet rope, Screaming Eagle tier)",approved
The Devil,XV,III,,A guilty pleasure,the shame is half the flavor,"critic-scorned crowd loves: Rombauer's butter, White Zin done seriously, Lambrusco",approved
The Devil,XV,IV,,How the sausage gets made,"you looked, didn't you","controversial additives: Mega Purple and the lab behind the glow (Caymus, poured knowingly)",approved
The Magician,I,I,,"Channeled, not made",the raw material was always extraordinary,terroir-transparent: great single vineyards,approved
The Magician,I,II,,Greater than the sum,the parts disappear into the whole,masterful blends,approved
The Magician,I,III,,Bent to will,the impossible made to look effortless,virtuoso producers: Dagueneau Silex,approved
The Magician,I,IV,,Between two worlds,some forces work best left unexplained,biodynamic mystique,approved
The High Priestess,II,I,,Two truths at once,what shows and what hides are both real,"duality: Savennières, top Mosel Riesling (light body, endless finish)",approved
The High Priestess,II,II,,Slow to speak,the deepest ones open in their own time,"evolves in glass: traditional Barolo/Barbaresco, high-end White Burgundy",approved
The High Priestess,II,III,,A quiet frequency,some notes only reach the ones listening,"subtle non-fruit complexity: Manzanilla Sherry, Chablis 1er Cru",approved
The High Priestess,II,IV,,Kept behind the veil,the best secrets keep themselves,"secretive producers: Château Rayas, Clos Rougeard",approved
The Empress,III,I,,A generous mood,there is more than enough to go around,"opulent earthy-sensual: Pomerol, Condrieu Viognier",approved
The Empress,III,II,,Tended like a garden,living things thrive on attention,"living-farm estates: Domaine Leroy, Spottswoode",approved
The Empress,III,III,,A mother's line,the oldest roots feed the newest branches,"mother vines / heritage clones: Bechthold Vineyard Cinsault (Lodi, planted 1886)",approved
The Empress,III,IV,,Room at the table,the warmest welcome comes from the kitchen,"versatile food wines: Cru Beaujolais (Morgon), Barbera d'Asti",approved
The Emperor,IV,I,,Built to stand,the things that last were engineered to,"architectural structure: Pauillac / St. Estèphe, Howell Mountain Cabernet",approved
The Emperor,IV,II,,A founding house,every order traces back to one name,"founding lineages: Moueix of Pétrus founding Dominus in Napa, the Tchelistcheff tree from Beaulieu",approved
The Emperor,IV,III,,A code kept,good rules don't retire,"strict appellation benchmark: textbook Brunello di Montalcino, Hermitage",approved
The Emperor,IV,IV,,A steady hand on top,control is a kind of care,"precise controlled winemaking: Cos d'Estournel's gravity-only cellar, Louis Roederer's blending precision",approved
The Hierophant,V,I,,An old order,some knowledge was kept by candlelight,"monastic vineyards: Clos de Vougeot, Schloss Johannisberg",approved
The Hierophant,V,II,,By the book,the classics earned the title,"textbook classics: benchmark Sancerre, Rioja Reserva",approved
The Hierophant,V,III,,An unbroken line,each generation teaches the next,"solera aging: Sherry solera, Rutherglen Muscat",approved
The Hierophant,V,IV,,A keeper of the flame,somebody has to hold the line,"trend-resisting traditionalists: López de Heredia, Bartolo Mascarello",approved
The Lovers,VI,I,,Better together,the whole outdoes its halves,"harmonious blends: classic Bordeaux blend, Rhône GSM",approved
The Lovers,VI,II,,Opposites in harmony,the differences do the attracting,"contrasting flavors united: Riesling Spätlese (sweet/acid), Northern Rhône Syrah (savory/fruit)",approved
The Lovers,VI,III,,A shared life's work,the best things get built in pairs,"winemaking couples: Mullineux, Favia (Erickson & Favia), Mme Bollinger legacy",approved
The Lovers,VI,IV,,A fork in the road,every choice is a small devotion,"choice of terroir: Roulot Perrières vs Charmes, Guigal La La bottlings",approved
The Chariot,VII,I,,A running start,the finish was decided early,"driven powerful wines: Cornas, Shafer Napa Cabernet",approved
The Chariot,VII,II,,A firm grip,power behaves for the right hands,"power harnessed with elegance (the two sphinxes): top Barolo / Brunello in prime",approved
The Chariot,VII,III,,An ambition realized,the doubters ran out of arguments,"relentless goal-driven producers: Angelo Gaja, Sine Qua Non",approved
The Chariot,VII,IV,,Steered through weather,hard years make good drivers,"opposing-conditions vintage steered home: 2011 Napa, 2008 Bordeaux",approved
Strength,VIII,I,,A gentle hand,the wildest things answer to softness,"taming brutal grapes: Nebbiolo, Sagrantino, Tannat made graceful",draft
Strength,VIII,II,,Velvet over iron,true power rarely raises its voice,"iron fist in velvet glove: Margaux, Chambertin",draft
Strength,VIII,III,,An old soul's grip,endurance is its own kind of grace,"old resilient vines: Henschke century-old Shiraz, Lodi old-vine Zinfandel",draft
Strength,VIII,IV,,Grace under fire,composure is loudest in the heat,hot-vintage freshness kept: Beaucastel 2003 Châteauneuf,draft
Justice,XI,I,,Everything in measure,fair is another word for balanced,"perfect equilibrium: German Riesling GG, Chianti Classico Riserva",draft
Justice,XI,II,,A fair trade,good business keeps its conscience,"ethical producers: Spottswoode (B Corp), Bosman Family (Fair-Trade)",draft
Justice,XI,III,,A long arc,every effect kept its receipt,"distant cause and effect: Chilean Carmenère (a century mistaken for Merlot), Pouilly-Fuissé WWII demarcation",draft
Justice,XI,IV,,Nothing to hide,the truth holds up in any light,"terroir-true transparency: Raveneau Chablis, Keller GG",draft
The Hanged Man,XII,I,,A pause with purpose,nothing was wasted by the waiting,suspended grapes: Amarone (months of drying); Vin de Paille,draft
The Hanged Man,XII,II,,A new angle,everything reads differently from here,"upended preconceptions: chilled red (Lambrusco, Frappato), bone-dry Amontillado",draft
The Hanged Man,XII,III,,Held by a thread,some footholds are earned daily,"gravity-defying steep vineyards: Mosel, Ribeira Sacra",draft
The Hanged Man,XII,IV,,Better with air,first impressions rarely finish the story,"patience and breathing: Jamet Syrah, Pierre Overnoy",draft
Temperance,XIV,I,,A perfect middle,the middle took the most skill,"restrained balanced winemakers: Cathy Corison, Jean-Louis Chave",draft
Temperance,XIV,II,,A steady recipe,"many parts, one purpose","masterful blends: Châteauneuf-du-Pape, classic Bordeaux assemblage",draft
Temperance,XIV,III,,Aged into agreement,time smooths what force cannot,"patient cask aging: López de Heredia Gran Reserva, Biondi-Santi Riserva",draft
Temperance,XIV,IV,,Grown together,what grows up together gets along,"field blends: Bedrock Wine Co., Marcel Deiss",draft
