id,status,invitation,notes
inv-01,approved,"Go on. *We don't bite.*",canon seed 2026-07-15
inv-02,approved,Fate favors the thirsty.,"canon; italics removed by user r2. THE USER'S FAVORITE because it hints at the drink: the Approach is the one pre-bottle moment for the allusion (keep the channel alive, never forced)"
inv-03,approved,The cards have been talking about you.,canon; italics removed by user r2
inv-04,approved,"Curiosity looks *good* on you.",canon; italics narrowed to the single word by user r2
inv-07,approved,Shall we?,canon seed 2026-07-15 (pure elegance carries no italics)
inv-08,approved,"The spirits have *opinions* tonight.",canon seed 2026-07-15
inv-11,approved,"Don't worry. It's *mostly* good news.","APPROVED 2026-07-15 (""I can feel the grin"")"
inv-12,approved,Some nights choose you back.,APPROVED 2026-07-15
inv-15,approved,You look like a good story.,APPROVED 2026-07-15
inv-17,draft,We were beginning to wonder.,inv r2 candidate (surveillance: you specifically were awaited)
inv-18,draft,There you are.,inv r2 candidate (surveillance-elegance)
inv-19,draft,The night pours in your favor.,inv r2 candidate (prophecy on the drink-hint channel)
inv-20,draft,"Tonight was *always* going to happen.",inv r2 candidate (prophecy; single-word italic)
inv-21,draft,Everyone peeks eventually.,inv r2 candidate (the dare: resistance is futile)
inv-22,draft,After you.,inv r2 candidate (pure elegance with menace-grace)
inv-23,draft,Thirst has excellent instincts.,inv r2 candidate (drink-hint + flattery: your thirst led you right)
inv-24,draft,The cards like you already.,inv r2 candidate (surveillance-flattery)
